,source,target,weight
0,0,0,0.0033057010629100373
1,0,1,0.008382878293503915
2,0,2,0.013679447641711813
3,0,3,0.0050022028931971975
4,0,5,0.010156646744013443
5,0,6,0.012223406255876652
6,0,7,0.037277054539198336
7,0,8,0.02994908655286008
8,0,9,0.015759811191787366
9,0,10,0.0052560646900269535
10,0,11,0.008342959825439616
11,0,12,0.018335109383814968
12,0,13,0.004735193414438708
13,0,16,0.0034353363987104342
14,0,19,0.0019796853823077147
15,0,22,0.008760107816711594
16,0,23,0.03832547169811326
17,0,24,0.012604471678721715
18,0,25,0.0033161291419728485
19,0,26,0.0135421956586846
20,0,27,0.0045507053593307105
21,0,53,0.001668591965087923
22,0,57,0.001935935429107533
23,0,63,0.1001155179052755
24,0,64,0.06270392963540927
25,0,65,0.05939056146923125
26,0,66,0.11680143755615464
27,0,67,0.055480682839173484
28,0,68,0.05982512655315232
29,0,69,0.02961163205649
30,0,70,0.060939880464080665
31,0,71,0.02461517898910704
32,0,72,0.047069236030092186
33,0,73,0.08760107816711593
34,0,74,0.051471819940000434
35,0,75,0.11680143755615464
36,0,76,0.13246992308198027
37,0,77,0.11680143755615464
38,0,78,0.06601820383608734
39,0,79,0.08760107816711593
40,0,80,0.07645185003675578
41,0,81,0.0730008984725966
42,0,82,0.046720575022461824
43,0,83,0.0475857708562112
44,0,84,0.07912355447352411
45,0,85,0.10874616600055773
46,0,86,0.1332523442542046
47,0,87,0.18867924528301844
48,0,88,0.07491402546705096
49,0,89,0.0989044430919052
50,0,90,0.09062180500046484
51,0,91,0.1107450667199096
52,0,92,0.060939880464080665
53,1,0,0.00016765756587007848
54,1,1,0.00042516033450306967
55,1,2,0.0006937901674743786
56,1,3,0.00025370024243009665
57,1,5,0.0005151217965863288
58,1,6,0.0006199430924033124
59,1,7,0.0018906065938540688
60,1,8,0.0015189488873699414
61,1,9,0.0007993014288657718
62,1,10,0.00026657552973342413
63,1,11,0.0004231357614816265
64,1,12,0.0009299146386049696
65,1,13,0.00024015813489497724
66,1,16,0.0001742323723747874
67,1,19,0.00010040509594479268
68,1,22,0.0004442925495557087
69,1,23,0.001943779904306223
70,1,24,0.0006392698554758384
71,1,25,0.00016818645409048873
72,1,26,0.0006868290621151037
73,1,27,0.00023080132444452402
74,1,53,8.462715229632529e-05
75,1,57,9.818619879684152e-05
76,1,63,0.005077629137779514
77,1,64,0.00318019930208296
78,1,65,0.0030121528783437768
79,1,66,0.0059239006607427645
80,1,67,0.002813852813852825
81,1,68,0.003034193021356048
82,1,69,0.0015018339703291538
83,1,70,0.003090730779517961
84,1,71,0.0012484253458590136
85,1,72,0.0023872435498515704
86,1,73,0.004442925495557087
87,1,74,0.002610532494564617
88,1,75,0.0059239006607427645
89,1,76,0.006718570261574123
90,1,77,0.0059239006607427645
91,1,78,0.0033482916778111386
92,1,79,0.004442925495557087
93,1,80,0.0038774622506680023
94,1,81,0.003702437912964239
95,1,82,0.002369560264297109
96,1,83,0.002413441009932236
97,1,84,0.004012964963728967
98,1,85,0.005515355787588089
99,1,86,0.006758252866481188
100,1,87,0.009569377990430634
101,1,88,0.00379946732033847
102,1,89,0.005016206204661215
103,1,90,0.00459612982299009
104,1,91,0.0056167354412968535
105,1,92,0.003090730779517961
106,2,0,0.005577005577005577
107,2,1,0.014142645721593104
108,2,2,0.02307841947481592
109,2,3,0.008439151908102654
110,2,5,0.0171351475699302
111,2,6,0.020621950854509102
112,2,7,0.06288963735772256
113,2,8,0.05052671719338383
114,2,9,0.02658817395659511
115,2,10,0.008867438867438867
116,2,11,0.014075299789585518
117,2,12,0.030932926281763477
118,2,13,0.007988683664359347
119,2,16,0.0057957116780646255
120,2,19,0.003339901644986403
121,2,22,0.014779064779064797
122,2,23,0.06465840840840853
123,2,24,0.02126484140872633
124,2,25,0.005594598654535564
125,2,26,0.022846863426573664
126,2,27,0.007677436248864819
127,2,53,0.002815059957917111
128,2,57,0.0032660916638817287
129,2,63,0.16890359747502612
130,2,64,0.10578698999751636
131,2,65,0.10019704934959173
132,2,66,0.19705419705419705
133,2,67,0.09360074360074368
134,2,68,0.10093019849117428
135,2,69,0.049957402070078136
136,2,70,0.1028108854195812
137,2,71,0.04152795061885976
138,2,72,0.07940990030542278
139,2,73,0.14779064779064796
140,2,74,0.08683744276964629
141,2,75,0.19705419705419705
142,2,76,0.22348829665902836
143,2,77,0.19705419705419705
144,2,78,0.1113784592045462
145,2,79,0.14779064779064796
146,2,80,0.128980928980929
147,2,81,0.12315887315887325
148,2,82,0.07882167882167881
149,2,83,0.08028133954059892
150,2,84,0.1334883270367143
151,2,85,0.1834642524297698
152,2,86,0.22480830931535248
153,2,87,0.31831831831831786
154,2,88,0.12638648500717473
155,2,89,0.1668604087958928
156,2,90,0.15288687702480822
157,2,91,0.18683657202175655
158,2,92,0.1028108854195812
159,3,0,3.751652169897897e-05
160,3,1,9.513759091128638e-05
161,3,2,0.00015524854925283202
162,3,3,5.6770182727934055e-05
163,3,5,0.00011526815362584851
164,3,6,0.00013872388256134098
165,3,7,0.00042305864894593337
166,3,8,0.0003398932735121173
167,3,9,0.00017885867091321856
168,3,10,5.9651269501376675e-05
169,3,11,9.468455476408992e-05
170,3,12,0.0002080858238420113
171,3,13,5.373988243367254e-05
172,3,16,3.898775784403708e-05
173,3,19,2.2467521469445018e-05
174,3,22,9.941878250229445e-05
175,3,23,0.00043495717344753723
176,3,24,0.00014304860791697037
177,3,25,3.763487034787168e-05
178,3,26,0.0001536908715011315
179,3,27,5.164612078041264e-05
180,3,53,1.8936910952817946e-05
181,3,57,2.197100165796568e-05
182,3,63,0.0011362146571690785
183,3,64,0.0007116291800164233
184,3,65,0.0006740256440833525
185,3,66,0.001325583766697258
186,3,67,0.0006296522891811977
187,3,68,0.0006789575390400591
188,3,69,0.0003360634901485998
189,3,70,0.0006916089217550914
190,3,71,0.0002793585624031412
191,3,72,0.0005341904731466555
192,3,73,0.0009941878250229446
193,3,74,0.0005841555582055705
194,3,75,0.001325583766697258
195,3,76,0.001503405979302988
196,3,77,0.001325583766697258
197,3,78,0.0007492429985680164
198,3,79,0.0009941878250229446
199,3,80,0.0008676548291109334
200,3,81,0.0008284898541857867
201,3,82,0.0005302335066789026
202,3,83,0.0005400526456914758
203,3,84,0.000897976100020724
204,3,85,0.0012341641965802064
205,3,86,0.0015122857056687024
206,3,87,0.002141327623126345
207,3,88,0.0008502020020885866
208,3,89,0.0011224701250259037
209,3,90,0.0010284701638168386
210,3,91,0.0012568497936092536
211,3,92,0.0006916089217550914
212,6,0,4.074468751958878e-05
213,6,1,0.00010332384873388549
214,6,2,0.00016860714535133148
215,6,3,6.165505891615149e-05
216,6,5,0.00012518657614714242
217,6,6,0.00015066058873522382
218,6,7,0.0004594613699017461
219,6,8,0.0003691399040236258
220,6,9,0.00019424883561970546
221,6,10,6.478405315614631e-05
222,6,11,0.00010283183040658123
223,6,12,0.00022599088310283662
224,6,13,5.836401185238395e-05
225,6,16,4.234251840270998e-05
226,6,19,2.440077331681584e-05
227,6,22,0.00010797342192691034
228,6,23,0.00047238372093023293
229,6,24,0.00015535744162145383
230,6,25,4.087321965687465e-05
231,6,26,0.0001669154348628566
232,6,27,5.6090089312680664e-05
233,6,53,2.0566366081316173e-05
234,6,57,2.386152970760448e-05
235,6,63,0.001233981964878976
236,6,64,0.0007728623885294637
237,6,65,0.0007320231995044769
238,6,66,0.0014396456256921375
239,6,67,0.0006838316722037659
240,6,68,0.0007373794668179241
241,6,69,0.00036498058116138767
242,6,70,0.0007511194568828551
243,6,71,0.00030339639219131756
244,6,72,0.0005801556999057881
245,6,73,0.0010797342192691033
246,6,74,0.0006344201062372128
247,6,75,0.0014396456256921375
248,6,76,0.0016327688193825485
249,6,77,0.0014396456256921375
250,6,78,0.0008137127449564256
251,6,79,0.0010797342192691033
252,6,80,0.000942313500453036
253,6,81,0.0008997785160575871
254,6,82,0.0005758582502768555
255,6,83,0.0005865222919486492
256,6,84,0.0009752438109527387
257,6,85,0.0013403597204719904
258,6,86,0.0016424126152262436
259,6,87,0.0023255813953488463
260,6,88,0.0009233589185473725
261,6,89,0.001219054763690923
262,6,90,0.0011169664337266584
263,6,91,0.0013649973339895836
264,6,92,0.0007511194568828551
265,8,0,0.00029949086552860085
266,8,1,0.0007594744436849707
267,8,2,0.0012393345726679072
268,8,3,0.00045319103134948917
269,8,5,0.0009201748332183133
270,8,6,0.0011074197120708757
271,8,7,0.003377237419790616
272,8,8,0.0027133360466693765
273,8,9,0.0014278119541277442
274,8,10,0.00047619047619047576
275,8,11,0.0007558578987150422
276,8,12,0.0016611295681063136
277,8,13,0.0004290004290004294
278,8,16,0.0003112356053532536
279,8,19,0.0001793561115595015
280,8,22,0.0007936507936507938
281,8,23,0.0034722222222222264
282,8,24,0.0011419435879867536
283,8,25,0.0003004356316659158
284,8,26,0.0012268997776244165
285,8,27,0.0004122861265718412
286,8,53,0.00015117157974300845
287,8,57,0.00017539244058581083
288,8,63,0.0090702947845805
289,8,64,0.005680868838763582
290,8,65,0.005380683346785041
291,8,66,0.010582010582010595
292,8,67,0.005026455026455039
293,8,68,0.005420054200542006
294,8,69,0.0026827632461435395
295,8,70,0.005521048999309875
296,8,71,0.0022300931391840413
297,8,72,0.004264392324093817
298,8,73,0.007936507936507936
299,8,74,0.004663258900547042
300,8,75,0.010582010582010595
301,8,76,0.012001548586914448
302,8,77,0.010582010582010595
303,8,78,0.00598113641591903
304,8,79,0.007936507936507936
305,8,80,0.0069264069264069325
306,8,81,0.006613756613756617
307,8,82,0.0042328042328042366
308,8,83,0.004311189496374692
309,8,84,0.00716845878136201
310,8,85,0.009852216748768485
311,8,86,0.01207243460764589
312,8,87,0.017094017094017106
313,8,88,0.006787082649151616
314,8,89,0.008960573476702517
315,8,90,0.00821018062397374
316,8,91,0.01003331373701745
317,8,92,0.005521048999309875
318,9,0,0.012540785927081872
319,9,1,0.0318019930208296
320,9,2,0.05189550452708352
321,9,3,0.01897677813377136
322,9,5,0.03853111038465727
323,9,6,0.046371743311767764
324,9,7,0.1414173732202849
325,9,8,0.11361737677527164
326,9,9,0.059787746879159616
327,9,10,0.019939849624060247
328,9,11,0.031650554958825614
329,9,12,0.06955761496765182
330,9,13,0.017963828490144305
331,9,16,0.013032581453634092
332,9,19,0.007510301176670488
333,9,22,0.03323308270676702
334,9,23,0.14539473684210535
335,9,24,0.0478173851895928
336,9,25,0.01258034676596855
337,9,26,0.051374813846209705
