,source,target,weight
0,2,3,3.7039651600679438e-06
1,2,4,8.04535688256618e-05
2,2,5,0.0002256197908371815
3,2,6,4.022678441283095e-06
4,2,8,0.0001921946366390816
5,2,9,9.10395647237752e-05
6,2,10,0.0009167684167684164
7,2,11,0.00118062419649721
8,2,12,0.0005832883739860478
9,2,13,0.0016362516362516402
10,2,14,0.0003611569545635484
11,2,15,0.00015725015725015777
12,2,16,0.0008648758648758647
13,2,17,0.00012695425539462188
14,2,18,0.00018083768083768082
15,2,20,4.831708742323262e-05
16,2,22,0.00036757224257224233
17,2,24,6.222128524286799e-06
18,2,25,2.728315031154144e-05
19,2,26,2.506886564857576e-05
20,2,27,2.246430817859388e-05
21,2,28,0.0014488518762023018
22,2,29,0.0005765839099172423
23,2,30,0.00030525030525030476
24,2,31,0.000376032984728637
25,2,34,0.0012068035323849265
26,2,35,0.0014665286404416831
27,2,36,0.0014477269912052536
28,2,37,0.0008815080930465539
29,2,38,4.228282006059785e-05
30,2,41,0.0015079886874758673
31,2,42,0.0011119832548403966
32,2,43,0.0006016527755658184
33,2,46,0.0005116167087998074
34,2,47,5.62520887724139e-05
35,2,48,0.00014911652842687273
36,2,49,0.0007076257076257071
37,2,50,0.00011159688579043413
38,2,53,3.2947651995271034e-05
39,2,54,0.0004388922299370054
40,2,56,0.0004843304843304837
41,2,57,0.0005256151664991437
42,2,58,0.0010352302018968684
43,2,59,0.0002685949890918839
44,2,60,3.1450031450031434e-05
45,2,61,0.0007495590828924162
46,2,79,9.266527123669972e-05
47,2,80,0.00025160025160025104
48,2,81,0.0005645717451273
49,2,83,8.541983850625815e-05
50,2,84,5.5798442895217005e-05
51,2,89,1.3949610723804251e-05
52,3,3,7.043085786167734e-06
53,3,4,0.00015298237498327142
54,3,5,0.00042901579071395664
55,3,6,7.649118749163557e-06
56,3,8,0.0003654578957933706
57,3,9,0.0001731116348494913
58,3,10,0.0017432341629343812
59,3,11,0.0022449556455878517
60,3,12,0.0011091222186287168
61,3,13,0.0031113307344570666
62,3,14,0.0006867395624249053
63,3,15,0.000299011005649121
64,3,16,0.0016445605310701635
65,3,17,0.00024140338070754766
66,3,18,0.00034386265649648923
67,3,20,9.187489000391994e-05
68,3,22,0.0006989382257048205
69,3,24,1.1831370727123548e-05
70,3,25,5.187888110631445e-05
71,3,26,4.766842119043963e-05
72,3,27,4.271585794987448e-05
73,3,28,0.002754990291365405
74,3,29,0.0010963736873801106
75,3,30,0.0005804331286130003
76,3,31,0.0007150263178565938
77,3,34,0.002294735624749065
78,3,35,0.00278860263964072
79,3,36,0.002752851323747887
80,3,37,0.001676186695129206
81,3,38,8.040073707454147e-05
82,3,41,0.002867438874686445
83,3,42,0.0021144349685187818
84,3,43,0.0011440421085705506
85,3,46,0.0009728386240133373
86,3,47,0.00010696328657366936
87,3,48,0.0002835449191500285
88,3,49,0.0013455495254210462
89,3,50,0.00021220135884776292
90,3,53,6.264992499314924e-05
91,3,54,0.0008345531053191887
92,3,56,0.0009209538973992935
93,3,57,0.0009994566763409849
94,3,58,0.001968489120523385
95,3,59,0.000510733084183281
96,3,60,5.980220112982421e-05
97,3,61,0.001425285793594148
98,3,79,0.00017620291404323238
99,3,80,0.0004784176090385937
100,3,81,0.0010735325688930252
101,3,83,0.00016242573146372006
102,3,84,0.00010610067942388167
103,3,89,2.652516985597048e-05
104,9,3,1.1803066012465366e-05
105,9,4,0.0002563735733870372
106,9,5,0.0007189606731940818
107,9,6,1.2818678669351804e-05
108,9,8,0.0006124479808690333
